id_venda,vendedor,cliente,item_vendido,valor_venda,comissao_individual
1,Carlos,Kennedy-Obrien,Probably,4003.06,120.09
2,Carlos,Morales LLC,Above,3686.77,110.6
3,Ana,Schultz Group,Mind,3024.57,90.74
4,Bruno,Harrington and Sons,Talk,864.37,25.93
5,Carlos,Peterson LLC,Fight,2350.32,70.51
6,Ana,Taylor-Wood,Much,3045.46,91.36
7,Daniela,Sanders-Munoz,Shoulder,3289.35,98.68
8,Ana,Robertson and Sons,Try,4852.56,145.58
9,Daniela,Cherry-Griffith,Head,4698.91,140.97
10,Bruno,Green Ltd,Subject,990.94,29.73
11,Ana,Gallegos Inc,Newspaper,3125.66,93.77
12,Bruno,"Porter, Torres and Stevenson",Fill,2671.31,80.14
13,Daniela,Jackson-Williams,Set,213.01,6.39
14,Carlos,Russell-Mitchell,True,3098.08,92.94
15,Bruno,"Brandt, Jenkins and Odonnell",Sure,328.66,9.86
16,Daniela,Jackson-Sanford,Alone,1895.17,56.86
17,Bruno,Myers Inc,However,543.97,16.32
18,Bruno,Harvey PLC,Different,1078.4,32.35
19,Carlos,"Allen, Sanchez and Smith",South,4917.83,147.53
20,Ana,Hernandez-Miller,She,327.61,9.83
21,Carlos,Johnson PLC,Star,3433.51,103.01
22,Ana,Goodwin-Johnson,Material,418.75,12.56
23,Daniela,"Gutierrez, May and Rodriguez",Alone,4716.79,141.5
24,Bruno,Haas-Hobbs,Such,4061.15,121.83
25,Ana,"Mathews, Moore and Rodriguez",Clear,178.23,5.35
26,Bruno,Ellis and Sons,Decide,3452.74,103.58
27,Carlos,Gates-Marquez,Inside,3447.99,103.44
28,Daniela,"Proctor, Bernard and Vazquez",Organization,2526.37,75.79
29,Carlos,"Doyle, Robertson and Gardner",Professional,949.49,28.48
30,Ana,Cunningham-Oconnell,Station,1368.02,41.04
31,Daniela,Stark and Sons,Population,3801.27,114.04
32,Bruno,Armstrong Ltd,Prevent,2648.33,79.45
33,Bruno,"Jenkins, Hampton and Ferguson",Age,2881.73,86.45
34,Ana,Lawrence-Taylor,Knowledge,4850.96,145.53
35,Bruno,Coleman-Henry,Fine,2303.8,69.11
36,Bruno,"Cortez, Roberson and Crane",Which,4484.65,134.54
37,Bruno,Price-Green,Spring,3663.63,109.91
38,Carlos,Bell and Sons,Same,533.61,16.01
39,Carlos,Nguyen PLC,These,2652.09,79.56
40,Bruno,"Wright, Davila and Long",Management,1694.12,50.82
41,Daniela,Diaz-Green,Human,3761.87,112.86
